City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
363,dzhusaly,0,NZ,1602725063,56,-35.17,173.17,61.11,12.15
364,dijkot,0,RU,1602725067,62,51.85,42.47,50.58,7.09
365,tigil,100,CN,1602724825,80,29.34,104.78,57.4,3.62
366,lebu,97,BG,1602725071,8,43.99,22.87,51.01,3.6
367,hami,90,CA,1602725074,100,45.62,-61.35,59,16.11
368,muyezerskiy,0,FI,1602725076,100,62.69,25.82,28.99,1.12
369,sao filipe,1,US,1602725078,66,21.39,-158.15,84.2,10.29
370,port hedland,100,ID,1602725080,83,0.7,108.9,79.95,8.34
371,henties bay,0,ES,1602725082,72,41.05,-0.13,51.01,21
372,kasongo-lunda,76,PG,1602725084,67,-6.12,141.29,85.6,3.53
373,sedona,20,JP,1602725086,47,43.32,145.57,55.4,8.05
374,ulladulla,100,RU,1602725088,97,62.55,155.55,30.74,4.03
375,hualmay,100,RO,1602725091,83,44.2,23.05,51.01,8.28
376,aflu,0,SE,1602725093,87,63.18,14.64,42.8,20.8
377,manavalakurichi,0,IS,1602725095,70,66.04,-17.34,39.2,8.05
378,morant bay,75,NO,1602725097,93,63.73,8.83,46.4,6.93
379,scottsburgh,27,CA,1602725099,53,47.6,-53.26,54,13.33
380,provideniya,40,MU,1602725101,94,-20.41,57.7,69.8,6.4
381,margate,100,MV,1602725103,77,6.88,73.1,82.42,22.86
382,grand gaube,0,NE,1602725105,18,19.75,10.25,77.11,1.97
383,saryshagan,40,BR,1602724984,74,-8.01,-34.86,78.8,8.05
384,sambava,75,CA,1602725110,62,65.28,-126.83,21.2,10.29
385,kavaje,0,BR,1602725112,91,-6.46,-36.2,66.45,13.4
